Image1,Image2,Label
student_17\6.jpg,student_17\7.jpg,1
student_18\20250419_105243.jpg,student_18\8.jpg,1
student_18\20250419_104938.jpg,student_18\20250419_104950.jpg,1
student_8\37.jpg,student_10\17.jpg,0
student_7\47.jpg,student_9\3.png,0
student_18\20250419_105158.jpg,student_18\20250419_105301.jpg,1
student_14\17.jpg,student_7\58.jpg,0
student_9\46.jpg,student_6\8.png,0
student_7\34.jpg,student_7\5.png,1
student_7\10.png,student_7\31.jpg,1
student_15\21.jpg,student_5\6.png,0
student_18\21.jpg,student_18\4.jpg,1
student_18\11.jpg,student_18\15.jpg,1
student_17\18.jpg,student_10\22.jpg,0
student_6\4.png,student_6\9.png,1
student_18\17.jpg,student_18\20250419_105243.jpg,1
student_7\57.jpg,student_17\3.jpg,0
student_6\6.png,student_18\20250419_104950.jpg,0
student_9\1.png,student_9\19.jpg,1
student_15\20.jpg,student_8\36.jpg,0
student_17\19.jpg,student_17\24.jpg,1
student_18\20250419_105331.jpg,student_18\21.jpg,1
student_8\24.jpg,student_8\43.jpg,1
student_17\13.jpg,student_9\36.jpg,0
student_9\34.jpg,student_9\47.jpg,1
student_8\30.jpg,student_15\5.jpg,0
student_9\11.jpg,student_6\1.png,0
student_7\32.jpg,student_7\4.png,1
student_8\16.jpg,student_8\34.jpg,1
student_15\16.jpg,student_8\3.png,0
student_7\12.jpg,student_7\47.jpg,1
student_9\46.jpg,student_6\8.png,0
student_16\15.jpg,student_16\16.jpg,1
student_8\31.jpg,student_14\14.jpg,0
student_7\54.jpg,student_17\12.jpg,0
student_8\24.jpg,student_8\25.jpg,1
student_18\10.jpg,student_18\20250419_105435.jpg,1
student_9\1.png,student_9\24.jpg,1
student_8\23.jpg,student_8\31.jpg,1
student_7\43.jpg,student_7\45.jpg,1
student_7\23.jpg,student_7\49.jpg,1
student_6\8.png,student_10\1.jpg,0
student_15\11.jpg,student_15\8.jpg,1
student_18\20250419_105219.jpg,student_18\20250419_105310.jpg,1
student_8\15.jpg,student_8\19.jpg,1
student_15\22.jpg,student_15\9.jpg,1
